Domain,Email Platform
123stores.com,Other/Unknown Platform
6degree.co,Outlook (Microsoft 365)
aeroflexindia.com,Outlook (Microsoft 365)
akribiz.com,Gmail (Google Workspace)
amala.earth,Gmail (Google Workspace)
amala.earth.com,Domain Not Found or No Email Setup
anamikakhanna.in,Gmail (Google Workspace)
apgroup.in,Gmail (Google Workspace)
asianfootwears.com,Gmail (Google Workspace)
asterpharmacy.in,Other/Unknown Platform
avonispat.com,Other/Unknown Platform
bnenterprises.co.in,Gmail (Google Workspace)
basantoverseas.com,Gmail (Google Workspace)
studiobeej.com,Gmail (Google Workspace)
getbinks.com,Gmail (Google Workspace)
blive.co.in,Gmail (Google Workspace)
bliveevstore.com,Domain Not Found or No Email Setup
bloomingbuds.co.in,Other/Unknown Platform
bluekaktus.com,Outlook (Microsoft 365)
bonkerscorner.com,Gmail (Google Workspace)
bosq.in,Domain Not Found or No Email Setup
brandeyes.in,Other/Unknown Platform
brij.com,Gmail (Google Workspace)
gobuncha.com,Gmail (Google Workspace)
bbcollective.co,Outlook (Microsoft 365)
camp.in,Gmail (Google Workspace)
campussutra.com,Gmail (Google Workspace)
casadecor.co.in,Gmail (Google Workspace)
chogoriindia.com,Other/Unknown Platform
cineline.co.in,Outlook (Microsoft 365)
clensta.com,Gmail (Google Workspace)
clicflyer.comcorporateen,Domain Not Found or No Email Setup
clicflyer.com,Outlook (Microsoft 365)
clicktechretail.com,Outlook (Microsoft 365)
109f.com,Gmail (Google Workspace)
crepdogcrew.com,Gmail (Google Workspace)
dailyobjects.com,Gmail (Google Workspace)
dawaadost.com,Gmail (Google Workspace)
demozastores.com,Outlook (Microsoft 365)
dlf.in,Outlook (Microsoft 365)
dslrteam.com,Gmail (Google Workspace)
eastendapparels.com,Other/Unknown Platform
essmart-global.com,Gmail (Google Workspace)
expressstores.in,Gmail (Google Workspace)
flyrobe.com,Gmail (Google Workspace)
forummalls.in,Outlook (Microsoft 365)
frontiermkts.com,Gmail (Google Workspace)
globetoyota.com,Domain Not Found or No Email Setup
goldenseams.in,Outlook (Microsoft 365)
geipl.com,Gmail (Google Workspace)
groupindigo.com,Other/Unknown Platform
happimobiles.com,Other/Unknown Platform
healthgenie.in,Other/Unknown Platform
hyvesports.com,Gmail (Google Workspace)
indiansilkhouseagencies.com,Gmail (Google Workspace)
IndiaShoppe.com,Outlook (Microsoft 365)
jammumotors.com,Other/Unknown Platform
jewelexgroup.com,Outlook (Microsoft 365)
kimirica.shop,Gmail (Google Workspace)
kompanero.in,Gmail (Google Workspace)
krishnaallied.com,Outlook (Microsoft 365)
lmce.in,Gmail (Google Workspace)
xpand.co.in,Gmail (Google Workspace)
locodesign.in,Other/Unknown Platform
luluandsky.com,Gmail (Google Workspace)
maamarts.com,Outlook (Microsoft 365)
mahaviracollections.com,Gmail (Google Workspace)
mccoymart.com,Gmail (Google Workspace)
megashopretail.com,Other/Unknown Platform
misschase.com,Gmail (Google Workspace)
modernbazaar.online,Other/Unknown Platform
mokobara.com,Gmail (Google Workspace)
mustardfashion.com,Gmail (Google Workspace)
mystique.co.in,Outlook (Microsoft 365)
naksh.co,Gmail (Google Workspace)
neerus.com,Outlook (Microsoft 365)
nestasia.in,Gmail (Google Workspace)
ndeh.comenindex.html,Domain Not Found or No Email Setup
newme.asia,Gmail (Google Workspace)
okhai.org,Gmail (Google Workspace)
okshan.comokshan,Domain Not Found or No Email Setup
onaya.in,Gmail (Google Workspace)
panoramaexports.co.in,Other/Unknown Platform
penguinapparels.com,Outlook (Microsoft 365)
peppermint.in,Gmail (Google Workspace)
poddardiamonds.com,Gmail (Google Workspace)
powergummies.com,Gmail (Google Workspace)
purpleunited.in,Gmail (Google Workspace)
rangsutra.com,Gmail (Google Workspace)
rareplanet.in,Gmail (Google Workspace)
rareplanet.com,Gmail (Google Workspace)
redwolf.in,Gmail (Google Workspace)
regalshoes.in,Gmail (Google Workspace)
retailez.co.in,Outlook (Microsoft 365)
saadaa.in,Gmail (Google Workspace)
saffronart.com,Gmail (Google Workspace)
safilogroup.com,Other/Unknown Platform
selectcitywalk.com,Outlook (Microsoft 365)
shairugems.net,Gmail (Google Workspace)
shipracommercial.com,Gmail (Google Workspace)
sbil.biz,Other/Unknown Platform
skandhanshi.com,Outlook (Microsoft 365)
snitch.co.in,Gmail (Google Workspace)
bit.ly,Gmail (Google Workspace)
starquik.com,Outlook (Microsoft 365)
sunnydiamonds.com,Gmail (Google Workspace)
lineaitalia.in,Gmail (Google Workspace)
sweetdreams.in,Gmail (Google Workspace)
taffles.com,Outlook (Microsoft 365)
technosport.in,Gmail (Google Workspace)
tenovia.com,Gmail (Google Workspace)
theayurvedaco.com,Outlook (Microsoft 365)
thepurpleturtles.com,Gmail (Google Workspace)
therosegroup.in,Gmail (Google Workspace)
tjori.com,Gmail (Google Workspace)
toolsvilla.com,Gmail (Google Workspace)
torani.in,Gmail (Google Workspace)
ugaoo.com,Gmail (Google Workspace)
voijeans.online,Other/Unknown Platform
westburykommerce.com,Outlook (Microsoft 365)
whindia.in,Other/Unknown Platform
bummer.in,Gmail (Google Workspace)
astaguru.com,Gmail (Google Workspace)
rai.net.in,Outlook (Microsoft 365)
d2cecommerce.in,Gmail (Google Workspace)
modi.com,Other/Unknown Platform
frameskraft.com,Other/Unknown Platform
intercity.co.in,Outlook (Microsoft 365)
macv.in,Gmail (Google Workspace)
artexapparels.com,Gmail (Google Workspace)
samyakk.com,Gmail (Google Workspace)
trico.in,Gmail (Google Workspace)
elahe.in,Gmail (Google Workspace)
adam-exports.com,Outlook (Microsoft 365)
chungathjewellery.com,Gmail (Google Workspace)
ateliermon.com,Outlook (Microsoft 365)
styleplus.in,Other/Unknown Platform
pmplgroup.com,Gmail (Google Workspace)
nextgapex.com,Outlook (Microsoft 365)
rockingdeals.in,Gmail (Google Workspace)
continuumba.com,Outlook (Microsoft 365)
janasya.in,Gmail (Google Workspace)
perforacare.com,Gmail (Google Workspace)
vegnonveg.com,Gmail (Google Workspace)
i2oretail.com,Outlook (Microsoft 365)
olivela.com,Gmail (Google Workspace)
vdbapp.com,Gmail (Google Workspace)
everstylish.com,Other/Unknown Platform
davidbowler.com,Outlook (Microsoft 365)
garderobe.ae,Other/Unknown Platform
sewsewyou.com,Outlook (Microsoft 365)
bomb.ae,Gmail (Google Workspace)
igi.org,Outlook (Microsoft 365)
thejacketmaker.com,Gmail (Google Workspace)
dubaimachines.com,Gmail (Google Workspace)
forreyandgalland.com,Other/Unknown Platform
endurosupply.com,Gmail (Google Workspace)
saffronsouk.com,Other/Unknown Platform
pharmaciaty.com,Gmail (Google Workspace)
mecsc.org,Gmail (Google Workspace)
meenajewellers.com,Gmail (Google Workspace)
conektr.com,Other/Unknown Platform
libsimarkah.com,Gmail (Google Workspace)
siroya.com,Other/Unknown Platform
jackysbrandshop.com,Outlook (Microsoft 365)
arabfashioncouncil.com,Outlook (Microsoft 365)
raseel.gift,Gmail (Google Workspace)
bloomingwear.com,Outlook (Microsoft 365)
annabelleuae.com,Outlook (Microsoft 365)
dolcemondo.ae,Other/Unknown Platform
alromaizan.com,Outlook (Microsoft 365)
altannan.com,Gmail (Google Workspace)
designtex.ae,Other/Unknown Platform
enoclink.ae,Outlook (Microsoft 365)
m2m.ae,Outlook (Microsoft 365)
feathers-fashion.com,Gmail (Google Workspace)
magrudy.com,Outlook (Microsoft 365)
newautofzco.com,Outlook (Microsoft 365)
sbgc.com,Outlook (Microsoft 365)
lfckuwait.com,Outlook (Microsoft 365)
stylishop.com,Gmail (Google Workspace)
tamkeenstores.com.sa,Other/Unknown Platform
samra.com,Outlook (Microsoft 365)
awrostamani.com,Other/Unknown Platform
lagardere-tr.com,Other/Unknown Platform
egolfoutlet.ae,Outlook (Microsoft 365)
g-1.com,Outlook (Microsoft 365)
bawadimall.com,Outlook (Microsoft 365)
ilovelerros.com,Other/Unknown Platform
reefi.me,Gmail (Google Workspace)
dreamuniforms.ae,Outlook (Microsoft 365)
opontia.com,Gmail (Google Workspace)
speedextools.com,Outlook (Microsoft 365)
fnp.ae,Gmail (Google Workspace)
ramlagroup.com,Gmail (Google Workspace)
wbs.ae,Gmail (Google Workspace)
fmart.ae,Other/Unknown Platform
icarabia.com,Outlook (Microsoft 365)
spret-me.com,Gmail (Google Workspace)
vperfumes.com,Gmail (Google Workspace)
alnabooda.com,Other/Unknown Platform
amg.ae,Other/Unknown Platform
emcoop.ae,Outlook (Microsoft 365)
dubaipetfood.com,Outlook (Microsoft 365)
alyousuf.com,Other/Unknown Platform
nice.com.sa,Domain Not Found or No Email Setup
thepetshop.com,Outlook (Microsoft 365)
jazp.com,Other/Unknown Platform
mestores.com,Outlook (Microsoft 365)
Jazp.com,Other/Unknown Platform
dkhoonemirates.com,Outlook (Microsoft 365)
ohanashop.ae,Gmail (Google Workspace)
giordano-me.com,Outlook (Microsoft 365)
SellAnyCar.com,Gmail (Google Workspace)
matjarpanda.com,Outlook (Microsoft 365)
thegivingmovement.com,Other/Unknown Platform
elgrocer.com,Outlook (Microsoft 365)
theluxurycloset.com,Gmail (Google Workspace)
privatecollection.ae,Gmail (Google Workspace)
geniemode.com,Gmail (Google Workspace)
geebeegarments.ae,Outlook (Microsoft 365)
shop.lg.com,Domain Not Found or No Email Setup
unitednaghi.com.sa,Outlook (Microsoft 365)
ecityuae.ae,Other/Unknown Platform
al-essa.me,Outlook (Microsoft 365)
jawahir.sa,Outlook (Microsoft 365)
elfaleh.com,Outlook (Microsoft 365)
brandsco.com,Outlook (Microsoft 365)
interluxury.com,Other/Unknown Platform
almalki.com,Outlook (Microsoft 365)
rubaiyat.com,Outlook (Microsoft 365)
trolley.com.kw,Outlook (Microsoft 365)
etoilegroup.com,Other/Unknown Platform
ghb.sa,Outlook (Microsoft 365)
alhathboor.com,Other/Unknown Platform
al-baker.com,Outlook (Microsoft 365)
dreamdays.ae,Other/Unknown Platform
frontieredu.ae,Outlook (Microsoft 365)
ikonhouse.com,Outlook (Microsoft 365)
amouage.com,Other/Unknown Platform
myride.ae,Gmail (Google Workspace)
sedeer.com,Outlook (Microsoft 365)
recycling-s.com,Other/Unknown Platform
surfaces-me.com,Outlook (Microsoft 365)
technopowergroup.com,Gmail (Google Workspace)
vaidworld.com,Gmail (Google Workspace)
